"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1721","User login with wrong email or password","LMS system","Thu Oct 16 12:21:43 UTC 2025","passed","Thu Oct 16 12:21:45 UTC 2025","Authorization","Authentication","",""
"","2871","User login with correct email and password","LMS system","Thu Oct 16 12:21:45 UTC 2025","passed","Thu Oct 16 12:21:48 UTC 2025","Authorization","Authentication","",""
"","2951","Edit course","LMS system","Thu Oct 16 12:21:52 UTC 2025","passed","Thu Oct 16 12:21:55 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Thu Oct 16 12:21:55 UTC 2025","passed","Thu Oct 16 12:21:55 UTC 2025","TestUserInterface","test_markers","",""
"","1528","User login with wrong email or password","LMS system","Thu Oct 16 12:21:45 UTC 2025","passed","Thu Oct 16 12:21:47 UTC 2025","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Oct 16 12:21:55 UTC 2025","passed","Thu Oct 16 12:21:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","1282","Check displaying of empty courses list","LMS system","Thu Oct 16 12:21:50 UTC 2025","passed","Thu Oct 16 12:21:52 UTC 2025","Courses","Courses","",""
"","1627","Check displaying of dashboard page","LMS system","Thu Oct 16 12:21:54 UTC 2025","passed","Thu Oct 16 12:21:56 UTC 2025","Dashboard","Dashboard","",""
"","1502","Registration with correct email, username and password","LMS system","Thu Oct 16 12:21:48 UTC 2025","passed","Thu Oct 16 12:21:50 UTC 2025","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","Thu Oct 16 12:21:56 UTC 2025","passed","Thu Oct 16 12:21:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","2439","Create course","LMS system","Thu Oct 16 12:21:52 UTC 2025","passed","Thu Oct 16 12:21:54 UTC 2025","Courses","Courses","",""
"","1739","User login with wrong email or password","LMS system","Thu Oct 16 12:21:43 UTC 2025","passed","Thu Oct 16 12:21:45 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Oct 16 12:21:55 UTC 2025","passed","Thu Oct 16 12:21:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","1515","Navigation from login page to registration page","LMS system","Thu Oct 16 12:21:47 UTC 2025","passed","Thu Oct 16 12:21:49 UTC 2025","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Thu Oct 16 12:21:55 UTC 2025","passed","Thu Oct 16 12:21:55 UTC 2025","TestUserAuthentication","test_markers","",""
