2025-10-16 11:26:23,201 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-10-16 11:26:24,373 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:24,373 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-10-16 11:26:24,463 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:24,463 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-10-16 11:26:24,483 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:24,483 | INPUT | INFO | Fill input "Username" to value "username"
2025-10-16 11:26:24,538 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:24,539 | INPUT | INFO | Checking that input "Username" has a value "username"
2025-10-16 11:26:24,567 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:24,567 | INPUT | INFO | Fill input "Password" to value "password"
2025-10-16 11:26:24,626 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:24,626 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-10-16 11:26:24,649 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-10-16 11:26:24,649 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-10-16 11:26:24,758 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-10-16 11:26:24,758 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:24,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-10-16 11:26:24,989 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
2025-10-16 11:26:25,026 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-10-16 11:26:25,026 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-10-16 11:26:25,047 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-10-16 11:26:25,047 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-10-16 11:26:25,075 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-10-16 11:26:25,075 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-10-16 11:26:25,102 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-10-16 11:26:25,102 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
