"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1448","User login with wrong email or password","LMS system","Thu Oct 16 11:26:23 UTC 2025","passed","Thu Oct 16 11:26:24 UTC 2025","Authorization","Authentication","",""
"","1471","Navigation from login page to registration page","LMS system","Thu Oct 16 11:26:25 UTC 2025","passed","Thu Oct 16 11:26:26 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Oct 16 11:26:32 UTC 2025","passed","Thu Oct 16 11:26:32 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Thu Oct 16 11:26:32 UTC 2025","passed","Thu Oct 16 11:26:32 UTC 2025","TestUserInterface","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Oct 16 11:26:33 UTC 2025","passed","Thu Oct 16 11:26:33 UTC 2025","TestUserAuthentication","test_markers","",""
"","1624","Check displaying of dashboard page","LMS system","Thu Oct 16 11:26:31 UTC 2025","passed","Thu Oct 16 11:26:33 UTC 2025","Dashboard","Dashboard","",""
"","2169","Create course","LMS system","Thu Oct 16 11:26:29 UTC 2025","passed","Thu Oct 16 11:26:31 UTC 2025","Courses","Courses","",""
"","1673","User login with wrong email or password","LMS system","Thu Oct 16 11:26:21 UTC 2025","passed","Thu Oct 16 11:26:22 UTC 2025","Authorization","Authentication","",""
"","2765","User login with correct email and password","LMS system","Thu Oct 16 11:26:23 UTC 2025","passed","Thu Oct 16 11:26:25 UTC 2025","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","Thu Oct 16 11:26:32 UTC 2025","passed","Thu Oct 16 11:26:32 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","Thu Oct 16 11:26:32 UTC 2025","passed","Thu Oct 16 11:26:32 UTC 2025","TestUserAuthentication","test_markers","",""
"","2947","Edit course","LMS system","Thu Oct 16 11:26:29 UTC 2025","passed","Thu Oct 16 11:26:32 UTC 2025","Courses","Courses","",""
"","1527","Registration with correct email, username and password","LMS system","Thu Oct 16 11:26:26 UTC 2025","passed","Thu Oct 16 11:26:27 UTC 2025","Registration","Authentication","",""
"","1716","User login with wrong email or password","LMS system","Thu Oct 16 11:26:21 UTC 2025","passed","Thu Oct 16 11:26:22 UTC 2025","Authorization","Authentication","",""
"","1290","Check displaying of empty courses list","LMS system","Thu Oct 16 11:26:28 UTC 2025","passed","Thu Oct 16 11:26:29 UTC 2025","Courses","Courses","",""
