"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1399","Navigation from login page to registration page","LMS system","Thu Oct 23 07:54:21 UTC 2025","passed","Thu Oct 23 07:54:23 UTC 2025","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Thu Oct 23 07:54:28 UTC 2025","passed","Thu Oct 23 07:54:28 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Oct 23 07:54:29 UTC 2025","passed","Thu Oct 23 07:54:29 UTC 2025","TestUserAuthentication","test_markers","",""
"","2874","Edit course","LMS system","Thu Oct 23 07:54:25 UTC 2025","passed","Thu Oct 23 07:54:28 UTC 2025","Courses","Courses","",""
"","1782","User login with wrong email or password","LMS system","Thu Oct 23 07:54:16 UTC 2025","passed","Thu Oct 23 07:54:18 UTC 2025","Authorization","Authentication","",""
"","1820","Registration with correct email, username and password","LMS system","Thu Oct 23 07:54:20 UTC 2025","passed","Thu Oct 23 07:54:22 UTC 2025","Registration","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","Thu Oct 23 07:54:28 UTC 2025","passed","Thu Oct 23 07:54:28 UTC 2025","TestUserInterface","test_markers","",""
"","2063","Create course","LMS system","Thu Oct 23 07:54:24 UTC 2025","passed","Thu Oct 23 07:54:26 UTC 2025","Courses","Courses","",""
"","1293","Check displaying of empty courses list","LMS system","Thu Oct 23 07:54:23 UTC 2025","passed","Thu Oct 23 07:54:25 UTC 2025","Courses","Courses","",""
"","1737","Check displaying of dashboard page","LMS system","Thu Oct 23 07:54:27 UTC 2025","passed","Thu Oct 23 07:54:28 UTC 2025","Dashboard","Dashboard","",""
"","1","test_logout","tests.pytest","Thu Oct 23 07:54:28 UTC 2025","passed","Thu Oct 23 07:54:28 UTC 2025","TestUserAuthentication","test_markers","",""
"","1787","User login with wrong email or password","LMS system","Thu Oct 23 07:54:16 UTC 2025","passed","Thu Oct 23 07:54:18 UTC 2025","Authorization","Authentication","",""
"","1532","User login with wrong email or password","LMS system","Thu Oct 23 07:54:18 UTC 2025","passed","Thu Oct 23 07:54:20 UTC 2025","Authorization","Authentication","",""
"","2967","User login with correct email and password","LMS system","Thu Oct 23 07:54:18 UTC 2025","passed","Thu Oct 23 07:54:21 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Oct 23 07:54:28 UTC 2025","passed","Thu Oct 23 07:54:28 UTC 2025","TestUserAuthentication","test_markers","",""
