"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1597","Navigation from login page to registration page","LMS system","Thu Oct 23 08:10:59 UTC 2025","passed","Thu Oct 23 08:11:01 UTC 2025","Authorization","Authentication","",""
"","2063","User login with wrong email or password","LMS system","Thu Oct 23 08:10:55 UTC 2025","passed","Thu Oct 23 08:10:57 UTC 2025","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Thu Oct 23 08:11:09 UTC 2025","passed","Thu Oct 23 08:11:09 UTC 2025","TestUserAuthentication","test_markers","",""
"","2050","User login with wrong email or password","LMS system","Thu Oct 23 08:10:55 UTC 2025","passed","Thu Oct 23 08:10:57 UTC 2025","Authorization","Authentication","",""
"","1595","Registration with correct email, username and password","LMS system","Thu Oct 23 08:11:01 UTC 2025","passed","Thu Oct 23 08:11:02 UTC 2025","Registration","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Thu Oct 23 08:11:08 UTC 2025","passed","Thu Oct 23 08:11:08 UTC 2025","TestUserInterface","test_markers","",""
"","1374","Check displaying of empty courses list","LMS system","Thu Oct 23 08:11:03 UTC 2025","passed","Thu Oct 23 08:11:04 UTC 2025","Courses","Courses","",""
"","1560","User login with wrong email or password","LMS system","Thu Oct 23 08:10:57 UTC 2025","passed","Thu Oct 23 08:10:59 UTC 2025","Authorization","Authentication","",""
"","3015","User login with correct email and password","LMS system","Thu Oct 23 08:10:57 UTC 2025","passed","Thu Oct 23 08:11:00 UTC 2025","Authorization","Authentication","",""
"","1732","Check displaying of dashboard page","LMS system","Thu Oct 23 08:11:07 UTC 2025","passed","Thu Oct 23 08:11:08 UTC 2025","Dashboard","Dashboard","",""
"","2455","Create course","LMS system","Thu Oct 23 08:11:04 UTC 2025","passed","Thu Oct 23 08:11:06 UTC 2025","Courses","Courses","",""
"","3158","Edit course","LMS system","Thu Oct 23 08:11:04 UTC 2025","passed","Thu Oct 23 08:11:07 UTC 2025","Courses","Courses","",""
"","0","test_logout","tests.pytest","Thu Oct 23 08:11:08 UTC 2025","passed","Thu Oct 23 08:11:08 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","Thu Oct 23 08:11:08 UTC 2025","passed","Thu Oct 23 08:11:08 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Oct 23 08:11:08 UTC 2025","passed","Thu Oct 23 08:11:08 UTC 2025","TestUserAuthentication","test_markers","",""
